video_id,title,published_at,channel,view_count,like_count,comment_count,duration,platform
AD-RlkZI9JM,What Women Want 😅 #shorts #viral #trending #funny #comedy #tiktok #reels #viralshorts,2022-07-15T09:01:30Z,Sadiq Ahmed Vines,49717589,2070941,7156,PT1M,youtube
H7efNXe-01o,JUST MARRIED!💍#shorts #viralshorts #wedding,2024-10-21T22:05:04Z,ROCK SQUAD,14957650,226246,10920,PT13S,youtube
hUgIm71KZy0,How To Viral Short Video On Youtube | Youtube Shorts Viral Trick | #shorts #viralshorts,2022-07-28T13:10:06Z,Uttam Panuya,4257073,111280,4724,PT59S,youtube
VObNEOeu2b0,Viral AI baby got an 🥚 #trending #shorts #ytshorts #viralshorts #viral #baby #ai,2025-07-22T03:10:34Z,Yellow Chikess,798454,3517,85,PT6S,youtube
MO4OKdsh0Wo,New fashion trick unlocked..😂 #shorts #trending #relatable #reels #fyp #viral #shortfeed #fashion,2025-10-03T14:30:26Z,Armink World 💜 ,122607915,623971,1858,PT8S,youtube
OHpOvORemVo,short video viral tips and tricks 2025 🔥 short viral kaise kare |how to viral short video on youtube,2025-05-30T12:40:54Z,The Free Trick,3128537,76965,3631,PT52S,youtube
QCCEPPscCRY,New Shorts VIRAL TRICK🤯💥 (100% WORKING) #shorts,2024-03-25T18:00:21Z,Digital Raj,2472388,0,1463,PT37S,youtube
wD5_xbnyu8A,how he takes revenge #viral #trending #funny #love #viralvideo #shorts,2024-04-12T10:05:10Z,H&T Official,244938159,9331193,28316,PT1M1S,youtube
MUHg_uK4EaE,Funny  banana 🍌 part 122 #shorts #viral #banana #satisfying #shortsviral #farming #bananacutting,2024-12-26T04:05:00Z,OMAR BD ,95681133,1319196,2819,PT32S,youtube
2whh69T8FqQ,Content Creators vs Ai Creators…😡 #theboys #viral #shorts #ai,2025-08-07T21:32:20Z,The Johnson Brothers,19811336,819853,7217,PT58S,youtube
dMepzuxbPBw,How To Viral Short Video On YouTube | shorts viral kaise kare  🔥 #shorts,2023-07-01T04:00:18Z,Uday Pandey,14982950,0,8534,PT28S,youtube
F0Qg_zDMXUs,100% Short Video Viral Short Viral Kaise kare?How To Viral short video on youtube #viralshort,2023-01-27T02:00:03Z,KDPR GAMING ,9891842,0,2285,PT27S,youtube
QsgzyXa6o6o,How Viral Videos Are Made 📸,2022-04-29T02:00:04Z,Alan's Universe,147245854,4755716,8210,PT26S,youtube
SNr9z_BNyNM,Gabby Gelembung Sabun #funny #fyp #viral #shorts,2025-09-13T15:35:59Z,VOSSTONN,153416176,441249,57,PT6S,youtube
SNr9z_BNyNM,Gabby Gelembung Sabun #funny #fyp #viral #shorts,2025-09-13T15:35:59Z,VOSSTONN,153416176,441249,57,PT6S,youtube
cjE7XdBB2fc,Mother & daughter 😂 Wait For End🤪 #shorts #trending #viralshorts #funny #comedy,2025-09-27T05:59:14Z,K M Official,119002201,0,1090,PT18S,youtube
3QtKh9Cigb0,she's ignored him 🤯🤔‼️😥#youtube #explore #love #viral #trending #shorts,2025-10-14T17:09:00Z,Arvi 🖤,4226394,17779,122,PT12S,youtube
szBLxSEE-_A,🤣🤣🤣 #viralshorts #shorts #comedia,2025-05-25T19:19:46Z,Kike y su familia,44337285,487403,2293,PT11S,youtube
1aibqH3R1bs,Viral Breakfast Recipe😱 #shorts #shortvideo #food #recipe #viral #breakfast #viralvideo #viralshorts,2025-08-28T13:27:55Z,Kitchen With Dua,15743120,172348,421,PT48S,youtube
ERUlKKy3Oy0,“Patli Kamar Pe Killer Moves 😍🔥 #shorts #viral #dance #youtubeshorts,2026-04-13T12:41:23Z,Rajput Karishma Official26,57900,769,4,PT22S,youtube
0AJfryjihdA,Best viral and amazing gadgets short videos | Smart home gadgets 2024 #gadgets #reels #viral #shorts,2024-10-19T03:42:52Z,Smart home gadgets 2.0,206517978,0,5261,PT13S,youtube
jwi8RyHsWNg,ISHQ PAGALU 🤣 || #physicswallah #biharboard #biharboardexam #viral #shorts,2026-04-13T14:00:20Z,Edu Bihar,3629,133,4,PT29S,youtube
rWJc34VR4Y4,Respect girl 🥹💔🙏 #shorts #viralshorts  #shortsfeed #tranding #respect #girl #youtubeshorts #yt,2025-10-15T12:52:11Z,Dawood Khan,42340314,671972,1997,PT1M,youtube
fK_SIaC6mvg,Baby and Kitten Get a Funny Surprise! 😂 | Fart Reaction Moment #shorts #babyfart  #catshorts,2025-04-26T08:30:40Z,Shlok & Dodo - Shorts,16541187,74207,301,PT6S,youtube
jfavP7dUUcI,35+🎉🎉 beautiful blouse neck design #trending #youtubeshorts #viral #shorts #shortsfeed #fashion ❤️,2026-04-13T12:32:00Z,Trending fashion 🥰,22775,147,2,PT12S,youtube
7VqYWZhfmUw,POV: What the puppy sees… #theboys #viral #shorts #puppy #aot,2025-08-14T22:17:08Z,The Johnson Brothers,37975442,880000,9514,PT34S,youtube
DlKHA_ffNmI,Momos wali लड़की 👀😂 #shorts #funnyshorts #comedyshorts #momosshorts #momos #ytshortsviral,2024-07-20T06:11:32Z,Sejal Gaba,63733141,1029522,2373,PT45S,youtube
DoaPkRtGzhg,Dog with crocodile mouth #dog #animals #shorts #fyp #video #viralshorts #short,2025-02-26T14:51:44Z,Az animals,98143867,0,1600,PT6S,youtube
TD-c7yRkEWI,Twisted Aloo Paratha #shorts #aloo #paratha #shortsfeed #trending #viral,2025-08-17T09:29:29Z,Foodies Corner,28702352,270858,517,PT16S,youtube
w2IcSb7iO8A,mini house build #viral #shorts,2026-04-13T13:35:04Z,Infinite Build AI,9995,43,0,PT11S,youtube
IMNjcNOmhUI,Juegos olímpicos en casa 🏠 😅 #shorts #tiktokvideo #humor #viral #latina,2024-08-11T16:21:04Z,Gabriela Flores Villar,27807391,616462,1126,PT12S,youtube
OPtDFpgLc58,#indianarmy #army #reels #viral #shorts #viral #trend #trending #youtube #shortsviral #ai #indian,2025-07-26T08:56:55Z,DesiAi,810799,909,0,PT6S,youtube
BXj8atS0GXA,Trip to Thailand with Friends 😂 #Shorts #Viral #trending,2025-09-01T10:56:25Z,The Thoughtful Girl,9847202,52117,180,PT9S,youtube
v16E1l6laTg,Skirt + Short Kurti #viral #short #shorts #viralshorts #viralvideo #shortvideo #youtubeshorts #vlog,2026-04-13T16:16:24Z,Poojaga Vlogs,3604,0,0,PT14S,youtube
9hBSbeBwqJI,A Day in my life🫧🪷 #minivlog #dayinmylife #viral #shorts #trendingshorts #trending #ytshorts #yt,2026-04-13T12:01:15Z,Neha Das 🧚‍♀️,9301,197,29,PT22S,youtube
_8ZPfFiKZ3c,YouTube shorts upload karne ka tarika | How to viral shorts video on YouTube #youtubeshorts #shorts,2023-07-20T11:45:44Z,Mind Talk,19149812,502422,11701,PT54S,youtube
MHP5UwpQrI8,Lekin Mai Abhi Mara Nahi 🔥 in kurulus #viral #shorts #islamic #kurulusosman,2026-04-13T04:00:31Z,Orhan5.0,48565,2837,1,PT55S,youtube
hJdrD_XEdXA,Tom Holland Reacts To Viral Videos part 22 #tomholland #funny #reaction #memes #tiktokeffects,2025-09-10T17:56:24Z,Tom React,179977740,1424128,3517,PT15S,youtube
EHoh4SgT66E,Dudi dudi dum dum 😨😱#shorts,2025-08-01T14:10:21Z,Zeeshan Pasha,83207972,417395,1587,PT9S,youtube
SO9Y1FI6pas,Baby Talk Gone Viral 😂 | #ultraaicomedykaran | #BabyTalk #ViralShorts#shorts #TrendingNow #Funny,2025-08-26T08:18:54Z,Ultra AI Comedykaran,3357632,32089,49,PT9S,youtube
CE854qPhBDY,Do you like slime lickers? #autumnmonique #viral #shorts,2023-03-10T21:57:50Z,Autumn Monique,50205725,913864,12966,PT10S,youtube
